State County FIPS,Postal Code,Name,Median Household Income,Year
"12 , 11",FL,Broward County,42673,2012
"12 , 13",FL,Calhoun County,26615,2012
"12 , 15",FL,Charlotte County,36514,2012
"12 , 17",FL,Citrus County,31932,2012
"12 , 19",FL,Clay County,51376,2012
"12 , 21",FL,Collier County,48242,2012
"12 , 23",FL,Columbia County,30815,2012
"12 , 27",FL,DeSoto County,27784,2012
"12 , 29",FL,Dixie County,25874,2012
"12 , 31",FL,Duval County,40457,2012
"12 , 33",FL,Escambia County,35347,2012
"12 , 35",FL,Flagler County,42681,2012
"12 , 37",FL,Franklin County,28896,2012
"12 , 39",FL,Gadsden County,29814,2012
"12 , 41",FL,Gilchrist County,30908,2012
"12 , 43",FL,Glades County,31598,2012
"12 , 45",FL,Gulf County,31543,2012
"12 , 47",FL,Hamilton County,25201,2012
